,Field,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
246,ag,12,B BÖE,Halophyte research and development: what needs to be done next?,2008,Ecophysiology of high salinity tolerant plants,Springer,https://link.springer.com/chapter/10.1007/1-4020-4018-0_24,"https://scholar.google.com/scholar?cites=13401016258478117278&as_sdt=2005&sciodt=0,5&hl=en",105,2019-09-07 23:36:05,,,,,,,,,12,1.09,12,1,11
147,ag,15,Z Hui-ming,Eco-physiological Characteristics of Halophyte Salt-worts and Their Potential Utilization in Environmental Mediation and Germplasm Improvement [J],2004,Bulletin of Science and Technology,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-KJTB200402018.htm,"https://scholar.google.com/scholar?cites=4283435540598241708&as_sdt=2005&sciodt=0,5&hl=en",106,2019-09-07 23:36:05,,,,,,,,,15,1,15,1,15
380,rest,8,"VS Rathore, JP Singh, MM Roy","Haloxylon stocksii (Boiss.) Benth. et Hook. f., a promising halophyte: distribution, cultivation and utilization",2012,Genetic resources and crop evolution,Springer,https://link.springer.com/article/10.1007/s10722-012-9843-5,"https://scholar.google.com/scholar?cites=9228535412482300777&as_sdt=2005&sciodt=0,5&hl=en",106,2019-09-07 23:54:23,,,,,,,,,8,1.14,3,3,7
184,ag,23,"A Guvensen, G Gork, M Ozturk",An overview of the halophytes in Turkey,2006,Sabkha ecosystems,Springer,https://link.springer.com/chapter/10.1007/978-1-4020-5072-5_2,"https://scholar.google.com/scholar?cites=9523487143299261973&as_sdt=2005&sciodt=0,5&hl=en",107,2019-09-07 23:36:05,,,,,,,,,23,1.77,8,3,13
695,rest,1,"A Wiszniewska, I Kamińska, A Koźmińska…",Aspects of Co-tolerance Towards Salt and Heavy Metal Stresses in Halophytic Plant Species,2018,Plant Nutrients and …,Springer,https://link.springer.com/chapter/10.1007/978-981-10-9044-8_20,"https://scholar.google.com/scholar?cites=12787859537850104313&as_sdt=2005&sciodt=0,5&hl=en",107,2019-09-07 23:54:23,,,,,,,,,1,1,0,4,1
38,ag,15,JW O'Leary,The agricultural use of native plants on problem soils,1994,Soil Mineral Stresses,Springer,https://link.springer.com/chapter/10.1007/978-3-642-84289-4_6,"https://scholar.google.com/scholar?cites=14489374000030989983&as_sdt=2005&sciodt=0,5&hl=en",108,2019-09-07 23:36:05,,,,,,,,,15,0.6,15,1,25
492,rest,20,"M Chai, F Shi, R Li, G Qiu, F Liu, L Liu",Growth and physiological responses to copper stress in a halophyte Spartina alterniflora (Poaceae),2014,Acta Physiologiae Plantarum,Springer,https://link.springer.com/article/10.1007/s11738-013-1452-1,"https://scholar.google.com/scholar?cites=16608424487714420303&as_sdt=2005&sciodt=0,5&hl=en",108,2019-09-07 23:54:23,,,,,,,,,20,4,3,6,5
27,ag,39,"EP Glenn, CN Hodges, H Lieth, R Pielke, ...",Climate: growing halophytes to remove carbon from the atmosphere,1992,… : Science and Policy for …,Taylor & Francis,https://www.tandfonline.com/doi/pdf/10.1080/00139157.1992.9931438,"https://scholar.google.com/scholar?cites=7914616240032398386&as_sdt=2005&sciodt=0,5&hl=en",109,2019-09-07 23:36:05,,,,,,,,,39,1.44,8,5,27
645,rest,2,"GN TUG, AE YAPRAK",Halophytes as a Potential Food Source,2017,Anadolu Ege Tarımsal Araştırma Enstitüsü …,dergipark.org.tr,https://dergipark.org.tr/anadolu/issue/34063/376893,"https://scholar.google.com/scholar?cites=839761239494693126&as_sdt=2005&sciodt=0,5&hl=en",109,2019-09-07 23:54:23,,,,,,,,,2,1,1,2,2
39,ag,17,"EP Glenn, JJ Riley, RS Swingle, CU Mota, ...",North American halophytes: Potential use in animal husbandry,1994,Halophytes as a …,Springer,https://link.springer.com/chapter/10.1007/978-94-011-0818-8_12,"https://scholar.google.com/scholar?cites=3000315072476717243&as_sdt=2005&sciodt=0,5&hl=en",110,2019-09-07 23:36:05,,,,,,,,,17,0.68,3,5,25
646,rest,6,"R Kataoka, E Güneri, OC Turgay…","Sodium-resistant plant growth-promoting rhizobacteria isolated from a halophyte, Salsola grandis, in saline-alkaline soils of Turkey",2017,Eurasian Journal of …,dergipark.org.tr,https://dergipark.org.tr/ejss/issue/27240/289460,"https://scholar.google.com/scholar?cites=16699431517985018576&as_sdt=2005&sciodt=0,5&hl=en",110,2019-09-07 23:54:23,,,,,,,,,6,3,2,4,2
213,ag,156,"DG Masters, SE Benes, HC Norman",Biosaline agriculture for forage and livestock production,2007,"Agriculture, Ecosystems & …",Elsevier,https://www.sciencedirect.com/science/article/pii/S0167880906002994,"https://scholar.google.com/scholar?cites=1316936110229040854&as_sdt=2005&sciodt=0,5&hl=en",111,2019-09-07 23:36:05,,,,,,,,,156,13,52,3,12
647,rest,18,"AM Shackira, JT Puthur",Enhanced phytostabilization of cadmium by a halophyte—Acanthus ilicifolius L.,2017,International journal of phytoremediation,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/15226514.2016.1225284,"https://scholar.google.com/scholar?cites=16124135924821373159&as_sdt=2005&sciodt=0,5&hl=en",111,2019-09-07 23:54:23,,,,,,,,,18,9,9,2,2
286,ag,9,"RC Hendricks, DM Bushnell","Halophytes, Algae, and Bacteria Food and Fuel Feedstocks",2009,,ntrs.nasa.gov,https://ntrs.nasa.gov/search.jsp?R=20090025461,"https://scholar.google.com/scholar?cites=17437056782678358723&as_sdt=2005&sciodt=0,5&hl=en",112,2019-09-07 23:36:05,,,,,,,,,9,0.9,5,2,10
696,rest,4,"M Shaygan, D Mulligan…","The potential of three halophytes (Tecticornia pergranulata, Sclerolaena longicuspis, and Frankenia serpyllifolia) for the rehabilitation of brine‐affected soils",2018,Land degradation & …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/ldr.2954,"https://scholar.google.com/scholar?cites=6781039477808157671&as_sdt=2005&sciodt=0,5&hl=en",112,2019-09-07 23:54:23,,,,,,,,,4,4,1,3,1
287,ag,13,"Q Ma, XR Zhou, GQ Wu, SM Wang",Cloning and sequence analysis of actin gene fragment from the halophyte Suaeda glauca,2009,Biotechnology,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-SWJS200901000.htm,"https://scholar.google.com/scholar?cites=5330485142052333949&as_sdt=2005&sciodt=0,5&hl=en",113,2019-09-07 23:36:05,,,,,,,,,13,1.3,3,4,10
539,rest,7,"MSS Santos, CA Pedro, SC Gonçalves…","Phytoremediation of cadmium by the facultative halophyte plant Bolboschoenus maritimus (L.) Palla, at different salinities",2015,… Science and Pollution …,Springer,https://link.springer.com/article/10.1007/s11356-015-4750-x,"https://scholar.google.com/scholar?cites=2864565051272266342&as_sdt=2005&sciodt=0,5&hl=en",113,2019-09-07 23:54:23,,,,,,,,,7,1.75,2,4,4
449,ag,15,"B Gul, Z Abideen, R Ansari, MA Khan",Halophytic biofuels revisited,2013,,Taylor & Francis,https://www.tandfonline.com/doi/full/10.4155/bfs.13.57,"https://scholar.google.com/scholar?cites=13393502259796674044&as_sdt=2005&sciodt=0,5&hl=en",114,2019-09-07 23:36:05,,,,,,,,,15,2.5,4,4,6
591,rest,0,M Bhuiyan,"Management of dryland salinity in Central-west New South Wales, Australia: remediation trials using salt-tolerant plants: remediation trials using salt-tolerant …",2016,,researchoutput.csu.edu.au,https://researchoutput.csu.edu.au/files/9318479/88735,,114,2019-09-07 23:54:23,PDF,,,,,,,,0,0,0,1,3
96,ag,31,"DJ Weber, B Gul, A Khan, T Williams, ...",Composition of vegetable oil from seeds of native halophytes,2001,"… of Agriculture, Forest …",fs.usda.gov,https://www.fs.usda.gov/treesearch/pubs/44595,"https://scholar.google.com/scholar?cites=7126547690332055414&as_sdt=2005&sciodt=0,5&hl=en",115,2019-09-07 23:36:05,,,,,,,,,31,1.72,6,5,18
648,rest,46,"X Luo, G Liu, Y Xia, L Chen, Z Jiang, H Zheng…","Use of biochar-compost to improve properties and productivity of the degraded coastal soil in the Yellow River Delta, China",2017,Journal of Soils and …,Springer,https://link.springer.com/article/10.1007/s11368-016-1361-1,"https://scholar.google.com/scholar?cites=1827751112898444578&as_sdt=2005&sciodt=0,5&hl=en",115,2019-09-07 23:54:23,,,,,,,,,46,23,7,7,2
518,ag,322,"J Bose, A Rodrigo-Moreno, ...",ROS homeostasis in halophytes in the context of salinity stress tolerance,2014,Journal of Experimental …,academic.oup.com,https://academic.oup.com/jxb/article-abstract/65/5/1241/2884858,"https://scholar.google.com/scholar?cites=13723570623309017648&as_sdt=2005&sciodt=0,5&hl=en",116,2019-09-07 23:36:05,,,,,,,,,322,64.4,107,3,5
540,rest,0,TJ Flowers,eHALOPH a Database of Salt-Tolerant Plants: Helping put Halophytes to Work,2015,,researchgate.net,https://www.researchgate.net/profile/James_Aronson2/publication/283447330_eHALOPH_a_Database_of_Salt-Tolerant_Plants_Helping_put_Halophytes_to_Work/links/572c3abd08aef7c7e2c6bde1/eHALOPH-a-Database-of-Salt-Tolerant-Plants-Helping-put-Halophytes-to-Work.pdf,,116,2019-09-07 23:54:23,PDF,,,,,,,,0,0,0,1,4
519,ag,87,"MR Panuccio, SE Jacobsen, SS Akhtar, A Muscolo",Effect of saline water on seed germination and early seedling growth of the halophyte quinoa,2014,AoB plants,academic.oup.com,https://academic.oup.com/aobpla/article-abstract/doi/10.1093/aobpla/plu047/2842731,"https://scholar.google.com/scholar?cites=17851070322759340252&as_sdt=2005&sciodt=0,5&hl=en",117,2019-09-07 23:36:05,,,,,,,,,87,17.4,22,4,5
649,rest,3,"S Arora, AK Singh, D Sahni",Bioremediation of salt-affected soils: challenges and opportunities,2017,Bioremediation of Salt Affected Soils: An …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-48257-6_14,"https://scholar.google.com/scholar?cites=934175679768203935&as_sdt=2005&sciodt=0,5&hl=en",117,2019-09-07 23:54:23,,,,,,,,,3,1.5,1,3,2
185,ag,10,"W Yuzhen, L Yongxin, W Chunlan",Improvement of salt-affected soils with six halophytes,2006,Journal of Anhui Agricultural …,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-AHNY200605064.htm,"https://scholar.google.com/scholar?cites=2986770055360470491&as_sdt=2005&sciodt=0,5&hl=en",118,2019-09-07 23:36:05,,,,,,,,,10,0.77,3,3,13
650,rest,14,"E Syranidou, S Christofilopoulos, N Kalogerakis",Juncus spp.—The helophyte for all (phyto) remediation purposes?,2017,New biotechnology,Elsevier,https://www.sciencedirect.com/science/article/pii/S1871678416326577,"https://scholar.google.com/scholar?cites=14953206920430097256&as_sdt=2005&sciodt=0,5&hl=en",118,2019-09-07 23:54:23,,,,,,,,,14,7,5,3,2
23,ag,313,"EP Glenn, JW O'LEARY, MC Watson, ...",Salicornia bigelovii Torr.: an oilseed halophyte for seawater irrigation,1991,…,science.sciencemag.org,https://science.sciencemag.org/content/251/4997/1065.abstract,"https://scholar.google.com/scholar?cites=11416252711936135796&as_sdt=2005&sciodt=0,5&hl=en",119,2019-09-07 23:36:05,,,,,,,,,313,11.18,78,4,28
343,rest,1,"ZV Kuz'mina, SE Treshkin",Results of long-term monitoring of the halophytic plants developing on Cis-Aralian solonchaks,2011,Arid Ecosystems,Springer,https://link.springer.com/article/10.1134/S2079096111030085,"https://scholar.google.com/scholar?cites=2944629112783328269&as_sdt=2005&sciodt=0,5&hl=en",119,2019-09-07 23:54:23,,,,,,,,,1,0.13,1,2,8
111,ag,110,"Z Kefu, F Hai, IA Ungar",Survey of halophyte species in China,2002,Plant Science,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168945202001607,"https://scholar.google.com/scholar?cites=15018438740312649749&as_sdt=2005&sciodt=0,5&hl=en",120,2019-09-07 23:36:05,,,,,,,,,110,6.47,37,3,17
425,rest,12,"M Benzarti, KB Rejeb, A Debez, C Abdelly",Environmental and Economical Opportunities for the Valorisation of the Genus Atriplex: New Insights,2013,Crop Improvement,Springer,https://link.springer.com/chapter/10.1007/978-1-4614-7028-1_16,"https://scholar.google.com/scholar?cites=2730516865742524515&as_sdt=2005&sciodt=0,5&hl=en",120,2019-09-07 23:54:23,,,,,,,,,12,2,3,4,6
520,ag,10,"HW Koyro, H Lieth, B Gul, R Ansari, B Huchzermeyer, ...",Importance of the diversity within the halophytes to agriculture and land management in arid and semiarid countries,2014,Sabkha …,Springer,https://link.springer.com/chapter/10.1007/978-94-007-7411-7_12,"https://scholar.google.com/scholar?cites=11246858757453910669&as_sdt=2005&sciodt=0,5&hl=en",121,2019-09-07 23:36:05,,,,,,,,,10,2,2,6,5
737,rest,0,"ID Rodríguez-Llorente, E Pajuelo…",Bacterial Endophytes from Halophytes: How Do They Help Plants to Alleviate Salt Stress?,2019,Saline Soil-based …,Springer,https://link.springer.com/chapter/10.1007/978-981-13-8335-9_6,,121,2019-09-07 23:54:23,,,,,,,,,0,0,0,3,1
186,ag,11,"S Fan, S Qi, H Wu, M DONG",Effect of the Halophytes Rhizosphere on the Amount of Microorganism and the Enzyme Activity in Soil,2006,JOURNAL-HEBEI UNIVERSITY …,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-HBDD200601009.htm,"https://scholar.google.com/scholar?cites=9405219542161699744&as_sdt=2005&sciodt=0,5&hl=en",122,2019-09-07 23:36:05,,,,,,,,,11,0.85,3,4,13
738,rest,0,"D Arbelet-Bonnin, I Ben-Hamed-Louati…","Cakile maritima, a promising model for halophyte studies and a putative cash crop for saline agriculture",2019,Advances in …,books.google.com,https://books.google.com/books?hl=en&lr=&id=xOOTDwAAQBAJ&oi=fnd&pg=PA45&dq=halophyte+restoration+remediation&ots=sRUogJAVaS&sig=FQ1sD_KXBBf8X5NCvtNrjAydjuI,,122,2019-09-07 23:54:23,,,,,,,,,0,0,0,3,1
86,ag,32,"MN Noaman, ES El-Haddad",Effects of irrigation water salinity and leaching fraction on the growth of six halophyte species,2000,The Journal of Agricultural Science,cambridge.org,https://www.cambridge.org/core/journals/journal-of-agricultural-science/article/effects-of-irrigation-water-salinity-and-leaching-fraction-on-the-growth-of-six-halophyte-species/32E4218381B2E655DB2C8A130EEAF021,"https://scholar.google.com/scholar?cites=404873947141918625&as_sdt=2005&sciodt=0,5&hl=en",123,2019-09-07 23:36:05,,,,,,,,,32,1.68,16,2,19
739,rest,0,"M Hasanuzzaman, S Shabala, M Fujita",Halophytes and Climate Change: Adaptive Mechanisms and Potential Uses,2019,,books.google.com,https://books.google.com/books?hl=en&lr=&id=eiONDwAAQBAJ&oi=fnd&pg=PR3&dq=halophyte+restoration+remediation&ots=cBxxRcxULo&sig=NWDd_taUY_8W0woMPAyT4WLbn70,,123,2019-09-07 23:54:23,BOOK,,,,,,,,0,0,0,3,1
205,rest,9,"H Zhu, Y ZU, W WANG, Y YAN",Assessment of vegetation restoring and artificial interference in the saline-alkaline soil [J],2007,Jilin Forestry Science and …,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-JLLK200705005.htm,"https://scholar.google.com/scholar?cites=8457415036005296492&as_sdt=2005&sciodt=0,5&hl=en",124,2019-09-07 23:54:23,,,,,,,,,9,0.75,2,4,12
247,ag,30,"N Shamsutdinov, Z Shamsutdinov",Halophyte utilization for biodiversity and productivity of degraded pasture restoration in arid regions of Central Asia and Russia,2008,Biosaline agriculture and high salinity …,Springer,https://link.springer.com/chapter/10.1007/978-3-7643-8554-5_21,"https://scholar.google.com/scholar?cites=8239873869411228787&as_sdt=2005&sciodt=0,5&hl=en",124,2019-09-07 23:36:05,,,,,,,,,30,2.73,15,2,11
148,ag,25,"KB Hamed, A Debez, F Chibani, C Abdelly","Salt response of Crithmum maritimum, an oleagineous halophyte",2004,Tropical Ecology,academia.edu,http://www.academia.edu/download/34538165/45112.pdf,"https://scholar.google.com/scholar?cites=12818435723887139141&as_sdt=2005&sciodt=0,5&hl=en",125,2019-09-07 23:36:05,PDF,,,,,,,,25,1.67,6,4,15
697,rest,0,"W Sidhoum, Z Fortas",Growth and mycorrhizal responses to cadmium stress in some halophytic plants,2018,SOIL & ENVIRONMENT,researchgate.net,https://www.researchgate.net/profile/Zohra_Fortas3/publication/329947779_Growth_and_mycorrhizal_responses_to_cadmium_stress_in_some_halophytic_plants/links/5c2cef9c458515a4c7077c63/Growth-and-mycorrhizal-responses-to-cadmium-stress-in-some-halophytic-plants.pdf,,125,2019-09-07 23:54:23,PDF,,,,,,,,0,0,0,2,1
206,rest,4,MNV Prasad,Emerging phytotechnologies for remediation of heavy meal contaminated/polluted soil and water,2007,,ces.iisc.ernet.in,http://www.ces.iisc.ernet.in/biodiversity/sahyadri_enews/newsletter/issue25/article2.htm,"https://scholar.google.com/scholar?cites=19685512721083991&as_sdt=2005&sciodt=0,5&hl=en",126,2019-09-07 23:54:23,HTML,,,,,,,,4,0.33,4,1,12
288,ag,268,"R Ksouri, H Falleh, W Megdiche, N Trabelsi, ...",Antioxidant and antimicrobial activities of the edible medicinal halophyte Tamarix gallica L. and related polyphenolic constituents,2009,Food and Chemical …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0278691509002579,"https://scholar.google.com/scholar?cites=1616528830026358302&as_sdt=2005&sciodt=0,5&hl=en",126,2019-09-07 23:36:05,,,,,,,,,268,26.8,54,5,10
214,ag,80,"T Ghnaya, I Slama, D Messedi, C Grignon, ...",Cd-induced growth reduction in the halophyte Sesuvium portulacastrum is significantly improved by NaCl,2007,Journal of Plant …,Springer,https://link.springer.com/article/10.1007/s10265-006-0042-3,"https://scholar.google.com/scholar?cites=3485949156190115464&as_sdt=2005&sciodt=0,5&hl=en",127,2019-09-07 23:36:05,,,,,,,,,80,6.67,16,5,12
426,rest,3,"B Guan, Q Lin, D Zhou",Germination strategies of Suaeda species for saline-alkaline environments,2013,African Journal of Agricultural Research,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.940.9702&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=15198608417907149475&as_sdt=2005&sciodt=0,5&hl=en",127,2019-09-07 23:54:23,PDF,,,,,,,,3,0.5,1,3,6
101,rest,2,X Hong_Chan,Comparative Studies on the Root Structure and Aerenchyma of Maritime Halophyte in Shandong [J],2002,Chinese Bulletin of Botany,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-ZWXT200201013.htm,"https://scholar.google.com/scholar?cites=15122593521639054072&as_sdt=2005&sciodt=0,5&hl=en",128,2019-09-07 23:54:23,,,,,,,,,2,0.12,2,1,17
400,ag,24,"Y Sakai, Y Ma, C Xu, H Wu, W Zhu, ...",Phytodesalination of a salt-affected soil with four halophytes in China,2012,J Arid Land Stud,nodaiweb.university.jp,http://nodaiweb.university.jp/desert/pdf/JALS-B02_17-20.pdf,"https://scholar.google.com/scholar?cites=16811016527194266393&as_sdt=2005&sciodt=0,5&hl=en",128,2019-09-07 23:36:05,PDF,,,,,,,,24,3.43,4,6,7
4,ag,461,IA Ungar,Halophyte seed germination,1978,The Botanical Review,Springer,https://link.springer.com/article/10.1007/BF02919080,"https://scholar.google.com/scholar?cites=16298615388877764700&as_sdt=2005&sciodt=0,5&hl=en",129,2019-09-07 23:36:05,,,,,,,,,461,11.24,461,1,41
541,rest,4,"D Egamberdieva, NA Mamedov",Potential use of Licorice in phytoremediation of salt affected soils,2015,"Plants, Pollutants and Remediation",Springer,https://link.springer.com/chapter/10.1007/978-94-017-7194-8_13,"https://scholar.google.com/scholar?cites=6539011602702794512&as_sdt=2005&sciodt=0,5&hl=en",129,2019-09-07 23:54:23,,,,,,,,,4,1,2,2,4
289,ag,52,"M Qadir, AD Noble, AS Qureshi, ...",Salt‐induced land and water degradation in the Aral Sea basin: A challenge to sustainable agriculture in Central Asia,2009,Natural Resources …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1477-8947.2009.01217.x,"https://scholar.google.com/scholar?cites=5648219502110851626&as_sdt=2005&sciodt=0,5&hl=en",130,2019-09-07 23:36:05,,,,,,,,,52,5.2,13,4,10
493,rest,10,"HW Koyro, H Lieth, B Gul, R Ansari, B Huchzermeyer…",Importance of the diversity within the halophytes to agriculture and land management in arid and semiarid countries,2014,Sabkha …,Springer,https://link.springer.com/chapter/10.1007/978-94-007-7411-7_12,"https://scholar.google.com/scholar?cites=11246858757453910669&as_sdt=2005&sciodt=0,5&hl=en",130,2019-09-07 23:54:23,,,,,,,,,10,2,2,6,5
248,ag,76,"WQ Li, L Xiao-Jing, MA Khan, B Gul",Relationship between soil characteristics and halophytic vegetation in coastal region of North China,2008,Pak J Bot,academia.edu,http://www.academia.edu/download/31129506/148.pdf,"https://scholar.google.com/scholar?cites=3073269763975748535&as_sdt=2005&sciodt=0,5&hl=en",131,2019-09-07 23:36:05,PDF,,,,,,,,76,6.91,19,4,11
494,rest,0,"MN Grigore, L Ivanescu, C Toma",Halophyte Definitions and Classifications,2014,Halophytes: An Integrative Anatomical …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-05729-3_2,,131,2019-09-07 23:54:23,,,,,,,,,0,0,0,3,5
249,ag,9,"L HONG, H DING, Z YANG, M WANG, ...",Research Progress and Prospects of Halophytic Vegetation Salicornia bigelovii [J],2008,Acta Agriculturae …,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-JXNY200807015.htm,"https://scholar.google.com/scholar?cites=13912291194894506868&as_sdt=2005&sciodt=0,5&hl=en",132,2019-09-07 23:36:05,,,,,,,,,9,0.82,2,5,11
542,rest,8,"S Gairola, A Bhatt, A El-Keblawy",A perspective on potential use of halophytes for reclamation of salt-affected lands,2015,Wulfenia,researchgate.net,https://www.researchgate.net/profile/Arvind_Singh56/post/Is_there_any_work_related_to_saline_land_and_measures_to_overcome_from_this_problem/attachment/59d64acb79197b80779a5052/AS:477141558140937@1490770820246/download/Gairola+et+al+2015.pdf,"https://scholar.google.com/scholar?cites=8932416698577972111&as_sdt=2005&sciodt=0,5&hl=en",132,2019-09-07 23:54:23,PDF,,,,,,,,8,2,3,3,4
450,ag,42,"K Kosová, P Vítámvás, MO Urban, IT Prášil",Plant proteome responses to salinity stress–comparison of glycophytes and halophytes,2013,Functional Plant Biology,CSIRO,http://www.publish.csiro.au/fp/fp12375,"https://scholar.google.com/scholar?cites=13363751363057498815&as_sdt=2005&sciodt=0,5&hl=en",133,2019-09-07 23:36:05,,,,,,,,,42,7,11,4,6
698,rest,21,"H Etesami, GA Beattie",Mining halophytes for plant growth-promoting halotolerant bacteria to enhance the salinity tolerance of non-halophytic crops,2018,Frontiers in microbiology,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fmicb.2018.00148,"https://scholar.google.com/scholar?cites=11923189327040798329&as_sdt=2005&sciodt=0,5&hl=en",133,2019-09-07 23:54:23,HTML,,,,,,,,21,21,11,2,1
451,ag,9,"S Arora, C Bhuva, RB Solanki, GG Rao",Halophytes for bio-saline agro-forestry and phyto-remediation of coastal saline lands,2013,,krishi.icar.gov.in,http://krishi.icar.gov.in/jspui/handle/123456789/7170,"https://scholar.google.com/scholar?cites=17838589535291946836&as_sdt=2005&sciodt=0,5&hl=en",134,2019-09-07 23:36:05,,,,,,,,,9,1.5,2,4,6
776,rest,1,"D Cao, F Shi, Z Lu, Z Yao, J Liu, H Yang",Effect of soil microbiomass and microbial PLFA on different halophyte communities in the Yellow River Delta,,Proceedings of the 5th …,researchgate.net,https://www.researchgate.net/profile/Fuchen_Shi/publication/252006226_Effect_of_Soil_Microbiomass_and_Microbial_PLFA_on_Different_Halophyte_Communities_in_the_Yellow_River_Delta/links/56a9b47808ae2df821653bf5/Effect-of-Soil-Microbiomass-and-Microbial-PLFA-on-Different-Halophyte-Communities-in-the-Yellow-River-Delta.pdf,"https://scholar.google.com/scholar?cites=8919833960327895173&as_sdt=2005&sciodt=0,5&hl=en",134,2019-09-07 23:54:23,PDF,,,,,,,,1,0,0,6,
381,rest,13,"H Wu, X Liu, J Zhao, J Yu, Q Pang, J Feng",Toxicological effects of environmentally relevant lead and zinc in halophyte Suaeda salsa by NMR-based metabolomics,2012,Ecotoxicology,Springer,https://link.springer.com/article/10.1007/s10646-012-0992-2,"https://scholar.google.com/scholar?cites=3732030969857128837&as_sdt=2005&sciodt=0,5&hl=en",135,2019-09-07 23:54:23,,,,,,,,,13,1.86,2,6,7
452,ag,70,"K Yan, H Shao, C Shao, P Chen, S Zhao, ...",Physiological adaptive mechanisms of plants grown in saline soil and implications for sustainable saline agriculture in coastal zone,2013,Acta physiologiae …,Springer,https://link.springer.com/article/10.1007/s11738-013-1325-7,"https://scholar.google.com/scholar?cites=15039093754025579333&as_sdt=2005&sciodt=0,5&hl=en",135,2019-09-07 23:36:05,,,,,,,,,70,11.67,12,6,6
129,ag,54,"M Zarrouk, H El Almi, NB Youssef, N Sleimi, ...","Lipid composition of seeds of local halophytes: Cakile maritima, Zygophyllum album and Crithmum maritimum",2003,Cash crop halophytes …,Springer,https://link.springer.com/chapter/10.1007/978-94-017-0211-9_13,"https://scholar.google.com/scholar?cites=15171933274721548884&as_sdt=2005&sciodt=0,5&hl=en",136,2019-09-07 23:36:05,,,,,,,,,54,3.38,11,5,16
651,rest,0,"J Ramasamy, K Periasamy…",Phytoremediation Potential of Sesuvium Portulacastrum on Remediating Salt Affected Soil,2017,Current World …,search.proquest.com,http://search.proquest.com/openview/416fb3902225fd8462bc84a19a44562e/1?pq-origsite=gscholar&cbl=2035006,,136,2019-09-07 23:54:23,,,,,,,,,0,0,0,3,2
453,ag,46,"A Buhmann, J Papenbrock",An economic point of view of secondary compounds in halophytes,2013,Functional Plant Biology,CSIRO,http://www.publish.csiro.au/fp/FP12342,"https://scholar.google.com/scholar?cites=18291627542012024831&as_sdt=2005&sciodt=0,5&hl=en",137,2019-09-07 23:36:05,,,,,,,,,46,7.67,23,2,6
543,rest,22,"R Joshi, VR Mangu, R Bedre, L Sanchez…",Salt adaptation mechanisms of halophytes: improvement of salt tolerance in crop plants,2015,Elucidation of abiotic …,Springer,https://link.springer.com/chapter/10.1007/978-1-4939-2540-7_9,"https://scholar.google.com/scholar?cites=829473321025975595&as_sdt=2005&sciodt=0,5&hl=en",137,2019-09-07 23:54:23,,,,,,,,,22,5.5,4,5,4
112,ag,10,GUFPAN Xiaoling,Halophyte Resources and Their Exploitation and Utilization in the Arid Desert Regions of Northwest China [J],2002,Arid Zone Research,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTotal-GHQJ200204003.htm,"https://scholar.google.com/scholar?cites=12340357168272625622&as_sdt=2005&sciodt=0,5&hl=en",138,2019-09-07 23:36:05,,,,,,,,,10,0.59,10,1,17
777,rest,0,"M Rabhi, S Ferchichi, J Jouini, MH Hamrouni…",Phytodesalination of a salt-affected soil with the halophyte Sesuvium,,academia.edu,,http://www.academia.edu/download/39244876/02e7e52e9185c5a607000000.pdf,,138,2019-09-07 23:54:23,PDF,,,,,,,,0,0,0,5,
617,ag,16,"L Liang, W Liu, Y Sun, X Huo, S Li, ...",Phytoremediation of heavy metal contaminated saline soils using halophytes: current progress and future perspectives,2016,Environmental …,NRC Research Press,https://www.nrcresearchpress.com/doi/abs/10.1139/er-2016-0063,"https://scholar.google.com/scholar?cites=10580863090103723831&as_sdt=2005&sciodt=0,5&hl=en",139,2019-09-07 23:36:05,,,,,,,,,16,5.33,3,6,3
778,rest,0,"ZJJ Jingmin, X Shangjun",Planting Techniques of Tamarix Chinensis and Its Effect on Saline Soil Remediation,,er-china.com,,http://www.er-china.com/uploadfile/2012/10/10/100435624.pdf,,139,2019-09-07 23:54:23,PDF,,,,,,,,0,0,0,2,
